freq_ghz,owner,how_established,note
4.37,S1,deletion,Rev19 B1 removed S1 and 4.325 vanished; tracked the Rev20 trim to 5MHz
4.87,S2,assigned,never deletion-tested
5.47,S3,assigned,never deletion-tested
5.9,S6,deletion,Rev19 B4 removed S6 and this null vanished; moved with S6 length in Rev20 B3
6.97,S4,deletion,Rev19 B1b census removed S4 and 6.890 vanished
7.55,?,unknown,needs S6 present (vanishes on S6 deletion) but ignores S6 length - Rev21 Q1
8.73,S5,assigned,never deletion-tested
9.965,-,unowned,survived S6 deletion AND three S6 lengths - explicitly NOT S6
11.36,-,unowned,moved +2.3% while S6 grew 1.911x - not S6
12.375,-,unowned,moved -1.3% while S6 grew 1.911x - not S6
