freq_GHz,S21_dB,S11_dB
0.5,-1.71449465403543,-4.86556383089007
0.505,-1.73734739108241,-4.81873005095953
0.51,-1.76010280799182,-4.77283256546664
0.515,-1.78275675246973,-4.72785110126502
0.52,-1.80530515892195,-4.68376596015037
0.525,-1.82774404739531,-4.64055799942522
0.53,-1.85006952249433,-4.59820861331273
0.535,-1.8722777722737,-4.55669971517314
0.54,-1.89436506711124,-4.5160137204791
0.545,-1.91632775856211,-4.47613353050957
0.55,-1.93816227819786,-4.43704251672418
0.555,-1.95986513643154,-4.39872450578252
0.56,-1.98143292133172,-4.36116376517509
0.565,-2.00286229742682,-4.32434498943487
0.57,-2.02415000450225,-4.2882532869001
0.575,-2.04529285639146,-4.25287416700106
0.58,-2.0662877397633,-4.21819352804501
0.585,-2.08713161290703,-4.18419764547504
0.59,-2.10782150451623,-4.15087316058043
0.595,-2.12835451247335,-4.11820706963667
0.6,-2.14872780263679,-4.08618671345551
0.605,-2.16893860763035,-4.05479976732577
0.61,-2.18898422563774,-4.02403423132704
0.615,-2.20886201920254,-3.99387842099975
0.62,-2.22856941403476,-3.96432095835536
0.625,-2.2481038978251,-3.93535076321186
0.63,-2.26746301906772,-3.90695704484026
0.635,-2.2866443858925,-3.87912929390892
0.64,-2.30564566490757,-3.85185727471272
0.645,-2.32446458005267,-3.82513101767532
0.65,-2.34309891146433,-3.79894081211295
0.655,-2.36154649435331,-3.77327719924922
0.66,-2.37980521789491,-3.74813096547036
0.665,-2.39787302413276,-3.72349313581155
0.67,-2.41574790689657,-3.69935496766507
0.675,-2.43342791073401,-3.67570794470121
0.68,-2.45091112985784,-3.65254377099428
0.685,-2.46819570710764,-3.62985436534509
0.69,-2.48527983292768,-3.60763185579308
0.695,-2.5021617443598,-3.58586857431033
0.7,-2.5188397240531,-3.56455705167128
0.705,-2.53531209928932,-3.54369001249107
0.71,-2.5515772410253,-3.52326037042688
0.715,-2.56763356295146,-3.50326122353588
0.72,-2.5834795205675,-3.48368584978464
0.725,-2.59911361027515,-3.46452770270427
0.73,-2.61453436848772,-3.44578040718639
0.735,-2.62974037075669,-3.42743775541498
0.74,-2.64473023091594,-3.40949370292947
0.745,-2.65950260024279,-3.39194236481449
0.75,-2.67405616663661,-3.37477801201223
0.755,-2.68838965381438,-3.35799506775307
0.76,-2.70250182052406,-3.34158810410094
0.765,-2.71639145977458,-3.3255518386091
0.77,-2.73005739808359,-3.30988113108345
0.775,-2.74349849474207,-3.29457098044937
0.78,-2.75671364109631,-3.27961652171912
0.785,-2.76970175984677,-3.26501302305658
0.79,-2.78246180436412,-3.25075588293624
0.795,-2.79499275802204,-3.23684062739366
0.8,-2.80729363354711,-3.22326290736447
0.805,-2.81936347238514,-3.21001849610957
0.81,-2.83120134408437,-3.19710328672346
0.815,-2.84280634569527,-3.18451328972373
0.82,-2.85417760118654,-3.17224463071916
0.825,-2.86531426087782,-3.16029354815405
0.83,-2.87621550088826,-3.1486563911269
0.835,-2.88688052260138,-3.13732961728111
0.84,-2.89730855214597,-3.12630979076565
0.845,-2.90749883989289,-3.11559358026422
0.85,-2.91745065996739,-3.10517775709048
0.855,-2.92716330977753,-3.09505919334785
0.86,-2.93663610955752,-3.08523486015227
0.865,-2.94586840192707,-3.07570182591612
0.87,-2.95485955146567,-3.06645725469171
0.875,-2.96360894430217,-3.05749840457295
0.88,-2.9721159877194,-3.04882262615368
0.885,-2.98038010977373,-3.04042736104116
0.89,-2.98840075892963,-3.03231014042365
0.895,-2.99617740370849,-3.02446858369039
0.9,-3.00370953235281,-3.01690039710317
0.905,-3.01099665250429,-3.00960337251791
0.91,-3.01803829089663,-3.00257538615535
0.915,-3.02483399306255,-2.9958143974197
