freq_ghz,S21_dB,S11_dB
0.500000,-1.762669,-4.767702
0.505000,-1.786385,-4.720712
0.510000,-1.810010,-4.674652
0.515000,-1.833540,-4.629503
0.520000,-1.856971,-4.585244
0.525000,-1.880299,-4.541857
0.530000,-1.903519,-4.499322
0.535000,-1.926629,-4.457622
0.540000,-1.949624,-4.416739
0.545000,-1.972501,-4.376656
0.550000,-1.995257,-4.337356
0.555000,-2.017887,-4.298823
0.560000,-2.040388,-4.261041
0.565000,-2.062757,-4.223994
0.570000,-2.084992,-4.187669
0.575000,-2.107087,-4.152049
0.580000,-2.129041,-4.117122
0.585000,-2.150851,-4.082872
0.590000,-2.172513,-4.049288
0.595000,-2.194025,-4.016355
0.600000,-2.215383,-3.984061
0.605000,-2.236585,-3.952394
0.610000,-2.257629,-3.921342
0.615000,-2.278511,-3.890892
0.620000,-2.299230,-3.861034
0.625000,-2.319782,-3.831756
0.630000,-2.340165,-3.803047
0.635000,-2.360377,-3.774897
0.640000,-2.380415,-3.747296
0.645000,-2.400278,-3.720233
0.650000,-2.419962,-3.693698
0.655000,-2.439467,-3.667683
0.660000,-2.458789,-3.642177
0.665000,-2.477927,-3.617172
0.670000,-2.496878,-3.592659
0.675000,-2.515641,-3.568630
0.680000,-2.534215,-3.545075
0.685000,-2.552596,-3.521987
0.690000,-2.570783,-3.499358
0.695000,-2.588775,-3.477180
0.700000,-2.606569,-3.455446
0.705000,-2.624165,-3.434148
0.710000,-2.641560,-3.413278
0.715000,-2.658753,-3.392831
0.720000,-2.675742,-3.372798
0.725000,-2.692526,-3.353175
0.730000,-2.709103,-3.333953
0.735000,-2.725473,-3.315127
0.740000,-2.741633,-3.296691
0.745000,-2.757582,-3.278638
0.750000,-2.773319,-3.260963
0.755000,-2.788843,-3.243660
0.760000,-2.804152,-3.226723
0.765000,-2.819246,-3.210148
0.770000,-2.834123,-3.193928
0.775000,-2.848781,-3.178059
0.780000,-2.863220,-3.162536
0.785000,-2.877439,-3.147354
0.790000,-2.891437,-3.132508
0.795000,-2.905213,-3.117994
0.800000,-2.918765,-3.103807
0.805000,-2.932093,-3.089942
0.810000,-2.945195,-3.076396
0.815000,-2.958072,-3.063164
0.820000,-2.970721,-3.050243
0.825000,-2.983143,-3.037628
0.830000,-2.995336,-3.025316
0.835000,-3.007300,-3.013303
0.840000,-3.019033,-3.001585
0.845000,-3.030535,-2.990159
0.850000,-3.041806,-2.979022
0.855000,-3.052844,-2.968170
0.860000,-3.063648,-2.957599
0.865000,-3.074219,-2.947308
0.870000,-3.084556,-2.937293
0.875000,-3.094657,-2.927550
0.880000,-3.104523,-2.918078
0.885000,-3.114152,-2.908874
0.890000,-3.123545,-2.899934
0.895000,-3.132700,-2.891256
0.900000,-3.141617,-2.882838
0.905000,-3.150295,-2.874677
0.910000,-3.158735,-2.866772
0.915000,-3.166935,-2.859119
0.920000,-3.174895,-2.851716
0.925000,-3.182615,-2.844562
0.930000,-3.190094,-2.837655
0.935000,-3.197331,-2.830992
0.940000,-3.204327,-2.824572
0.945000,-3.211081,-2.818393
0.950000,-3.217593,-2.812453
0.955000,-3.223862,-2.806750
0.960000,-3.229887,-2.801284
0.965000,-3.235670,-2.796051
0.970000,-3.241208,-2.791052
0.975000,-3.246502,-2.786285
0.980000,-3.251553,-2.781747
0.985000,-3.256358,-2.777439
0.990000,-3.260919,-2.773359
0.995000,-3.265234,-2.769505
1.000000,-3.269305,-2.765877
1.005000,-3.273129,-2.762474
1.010000,-3.276708,-2.759294
1.015000,-3.280041,-2.756338
1.020000,-3.283128,-2.753603
1.025000,-3.285968,-2.751091
1.030000,-3.288563,-2.748798
1.035000,-3.290910,-2.746726
1.040000,-3.293011,-2.744874
1.045000,-3.294865,-2.743240
1.050000,-3.296472,-2.741825
1.055000,-3.297832,-2.740629
1.060000,-3.298945,-2.739650
1.065000,-3.299811,-2.738889
1.070000,-3.300429,-2.738345
1.075000,-3.300801,-2.738019
1.080000,-3.300925,-2.737910
1.085000,-3.300801,-2.738018
1.090000,-3.300431,-2.738344
1.095000,-3.299813,-2.738887
1.100000,-3.298948,-2.739647
1.105000,-3.297836,-2.740625
1.110000,-3.296476,-2.741821
1.115000,-3.294870,-2.743236
1.120000,-3.293016,-2.744869
1.125000,-3.290916,-2.746721
1.130000,-3.288568,-2.748793
1.135000,-3.285975,-2.751085
1.140000,-3.283134,-2.753598
1.145000,-3.280047,-2.756332
1.150000,-3.276714,-2.759289
1.155000,-3.273135,-2.762468
1.160000,-3.269310,-2.765872
1.165000,-3.265239,-2.769500
1.170000,-3.260923,-2.773354
1.175000,-3.256362,-2.777435
1.180000,-3.251556,-2.781744
1.185000,-3.246505,-2.786282
1.190000,-3.241210,-2.791050
1.195000,-3.235671,-2.796050
1.200000,-3.229888,-2.801283
1.205000,-3.223862,-2.806750
1.210000,-3.217593,-2.812452
1.215000,-3.211081,-2.818393
1.220000,-3.204327,-2.824572
1.225000,-3.197332,-2.830992
1.230000,-3.190095,-2.837654
1.235000,-3.182617,-2.844560
1.240000,-3.174899,-2.851712
1.245000,-3.166941,-2.859112
1.250000,-3.158744,-2.866763
1.255000,-3.150308,-2.874665
1.260000,-3.141634,-2.882821
1.265000,-3.132722,-2.891234
1.270000,-3.123574,-2.899906
1.275000,-3.114189,-2.908838
1.280000,-3.104569,-2.918034
1.285000,-3.094713,-2.927496
1.290000,-3.084624,-2.937227
1.295000,-3.074301,-2.947229
1.300000,-3.063746,-2.957504
1.305000,-3.052958,-2.968057
1.310000,-3.041940,-2.978889
1.315000,-3.030692,-2.990003
1.320000,-3.019215,-3.001404
1.325000,-3.007509,-3.013093
1.330000,-2.995576,-3.025074
1.335000,-2.983417,-3.037350
1.340000,-2.971033,-3.049925
1.345000,-2.958425,-3.062802
1.350000,-2.945594,-3.075984
1.355000,-2.932541,-3.089476
1.360000,-2.919268,-3.103281
1.365000,-2.905775,-3.117403
1.370000,-2.892064,-3.131845
1.375000,-2.878136,-3.146612
1.380000,-2.863993,-3.161708
1.385000,-2.849636,-3.177137
1.390000,-2.835066,-3.192903
1.395000,-2.820285,-3.209010
1.400000,-2.805295,-3.225464
1.405000,-2.790097,-3.242267
1.410000,-2.774692,-3.259427
1.415000,-2.759083,-3.276946
1.420000,-2.743271,-3.294830
1.425000,-2.727257,-3.313083
1.430000,-2.711045,-3.331712
1.435000,-2.694635,-3.350720
1.440000,-2.678030,-3.370113
1.445000,-2.661231,-3.389897
1.450000,-2.644241,-3.410077
1.455000,-2.627062,-3.430658
1.460000,-2.609696,-3.451647
1.465000,-2.592145,-3.473048
1.470000,-2.574411,-3.494868
1.475000,-2.556498,-3.517113
1.480000,-2.538407,-3.539789
1.485000,-2.520141,-3.562902
1.490000,-2.501702,-3.586458
1.495000,-2.483094,-3.610463
1.500000,-2.464319,-3.634925
1.505000,-2.445379,-3.659850
1.510000,-2.426278,-3.685244
1.515000,-2.407018,-3.711114
1.520000,-2.387603,-3.737467
1.525000,-2.368036,-3.764310
1.530000,-2.348320,-3.791651
1.535000,-2.328458,-3.819495
1.540000,-2.308453,-3.847851
1.545000,-2.288310,-3.876726
1.550000,-2.268031,-3.906128
1.555000,-2.247621,-3.936063
1.560000,-2.227082,-3.966540
1.565000,-2.206419,-3.997565
1.570000,-2.185636,-4.029148
1.575000,-2.164736,-4.061295
1.580000,-2.143724,-4.094014
1.585000,-2.122605,-4.127314
1.590000,-2.101381,-4.161201
1.595000,-2.080058,-4.195685
1.600000,-2.058640,-4.230773
1.605000,-2.037133,-4.266474
1.610000,-2.015539,-4.302794
1.615000,-1.993865,-4.339743
1.620000,-1.972115,-4.377328
1.625000,-1.950294,-4.415557
1.630000,-1.928408,-4.454438
