freq_ghz,S21_dB,S11_dB
0.500000,-1.733301,-4.826968
0.505000,-1.756323,-4.780407
0.510000,-1.779244,-4.734781
0.515000,-1.802060,-4.690069
0.520000,-1.824768,-4.646252
0.525000,-1.847362,-4.603310
0.530000,-1.869840,-4.561226
0.535000,-1.892198,-4.519980
0.540000,-1.914431,-4.479555
0.545000,-1.936536,-4.439935
0.550000,-1.958510,-4.401102
0.555000,-1.980348,-4.363041
0.560000,-2.002048,-4.325735
0.565000,-2.023606,-4.289170
0.570000,-2.045019,-4.253330
0.575000,-2.066283,-4.218201
0.580000,-2.087396,-4.183769
0.585000,-2.108354,-4.150020
0.590000,-2.129155,-4.116941
0.595000,-2.149796,-4.084519
0.600000,-2.170273,-4.052741
0.605000,-2.190584,-4.021595
0.610000,-2.210726,-3.991069
0.615000,-2.230696,-3.961151
0.620000,-2.250493,-3.931830
0.625000,-2.270113,-3.903095
0.630000,-2.289554,-3.874934
0.635000,-2.308814,-3.847339
0.640000,-2.327889,-3.820297
0.645000,-2.346779,-3.793800
0.650000,-2.365480,-3.767838
0.655000,-2.383991,-3.742401
0.660000,-2.402310,-3.717480
0.665000,-2.420433,-3.693066
0.670000,-2.438360,-3.669151
0.675000,-2.456089,-3.645725
0.680000,-2.473616,-3.622781
0.685000,-2.490942,-3.600311
0.690000,-2.508063,-3.578307
0.695000,-2.524978,-3.556760
0.700000,-2.541685,-3.535664
0.705000,-2.558183,-3.515012
0.710000,-2.574470,-3.494796
0.715000,-2.590544,-3.475010
0.720000,-2.606404,-3.455646
0.725000,-2.622048,-3.436699
0.730000,-2.637475,-3.418161
0.735000,-2.652684,-3.400028
0.740000,-2.667672,-3.382292
0.745000,-2.682439,-3.364948
0.750000,-2.696983,-3.347991
0.755000,-2.711303,-3.331414
0.760000,-2.725398,-3.315212
0.765000,-2.739267,-3.299381
0.770000,-2.752907,-3.283914
0.775000,-2.766319,-3.268807
0.780000,-2.779501,-3.254056
0.785000,-2.792452,-3.239655
0.790000,-2.805171,-3.225600
0.795000,-2.817657,-3.211887
0.800000,-2.829908,-3.198510
0.805000,-2.841925,-3.185467
