freq_ghz,S21_dB,S11_dB
3.500000,-4.222644,-2.063579
3.505000,-4.191385,-2.082712
3.510000,-4.159557,-2.102424
3.515000,-4.127157,-2.122731
3.520000,-4.094183,-2.143652
3.525000,-4.060635,-2.165206
3.530000,-4.026511,-2.187413
3.535000,-3.991809,-2.210292
3.540000,-3.956530,-2.233866
3.545000,-3.920672,-2.258157
3.550000,-3.884236,-2.283187
3.555000,-3.847220,-2.308981
3.560000,-3.809625,-2.335563
3.565000,-3.771451,-2.362960
3.570000,-3.732700,-2.391200
3.575000,-3.693372,-2.420309
3.580000,-3.653468,-2.450318
3.585000,-3.612991,-2.481257
3.590000,-3.571943,-2.513158
3.595000,-3.530326,-2.546055
3.600000,-3.488144,-2.579981
3.605000,-3.445401,-2.614972
3.610000,-3.402100,-2.651067
3.615000,-3.358246,-2.688304
3.620000,-3.313845,-2.726723
3.625000,-3.268904,-2.766366
3.630000,-3.223429,-2.807277
3.635000,-3.177427,-2.849502
3.640000,-3.130908,-2.893087
3.645000,-3.083880,-2.938082
3.650000,-3.036354,-2.984538
3.655000,-2.988341,-3.032507
3.660000,-2.939854,-3.082044
3.665000,-2.890906,-3.133206
3.670000,-2.841511,-3.186050
3.675000,-2.791686,-3.240639
3.680000,-2.741448,-3.297033
3.685000,-2.690815,-3.355299
3.690000,-2.639808,-3.415501
3.695000,-2.588448,-3.477709
3.700000,-2.536759,-3.541991
3.705000,-2.484766,-3.608421
3.710000,-2.432496,-3.677069
3.715000,-2.379977,-3.748012
3.720000,-2.327242,-3.821324
3.725000,-2.274324,-3.897080
3.730000,-2.221257,-3.975357
3.735000,-2.168079,-4.056230
3.740000,-2.114832,-4.139774
3.745000,-2.061558,-4.226063
3.750000,-2.008302,-4.315168
3.755000,-1.955113,-4.407155
3.760000,-1.902043,-4.502088
3.765000,-1.849146,-4.600024
3.770000,-1.796479,-4.701012
3.775000,-1.744104,-4.805092
3.780000,-1.692084,-4.912291
3.785000,-1.640488,-5.022624
3.790000,-1.589385,-5.136086
3.795000,-1.538850,-5.252653
3.800000,-1.488962,-5.372276
3.805000,-1.439803,-5.494877
3.810000,-1.391457,-5.620343
3.815000,-1.344013,-5.748521
3.820000,-1.297565,-5.879212
3.825000,-1.252207,-6.012165
3.830000,-1.208040,-6.147066
3.835000,-1.165167,-6.283535
3.840000,-1.123692,-6.421111
3.845000,-1.083725,-6.559251
3.850000,-1.045378,-6.697316
3.855000,-1.008765,-6.834564
3.860000,-0.974001,-6.970146
3.865000,-0.941206,-7.103101
3.870000,-0.910497,-7.232352
3.875000,-0.881997,-7.356712
3.880000,-0.855824,-7.474889
3.885000,-0.832101,-7.585501
3.890000,-0.810947,-7.687100
3.895000,-0.792481,-7.778194
3.900000,-0.776820,-7.857293
3.905000,-0.764078,-7.922946
3.910000,-0.754366,-7.973796
3.915000,-0.747792,-8.008629
3.920000,-0.744457,-8.026430
3.925000,-0.744460,-8.026429
3.930000,-0.747890,-8.008143
3.935000,-0.754831,-7.971401
3.940000,-0.765361,-7.916356
3.945000,-0.779548,-7.843482
3.950000,-0.797453,-7.753551
3.955000,-0.819126,-7.647602
3.960000,-0.844609,-7.526893
3.965000,-0.873933,-7.392850
3.970000,-0.907120,-7.247010
3.975000,-0.944183,-7.090973
3.980000,-0.985120,-6.926352
3.985000,-1.029924,-6.754727
3.990000,-1.078574,-6.577616
3.995000,-1.131042,-6.396450
4.000000,-1.187286,-6.212550
4.005000,-1.247260,-6.027118
4.010000,-1.310903,-5.841236
4.015000,-1.378152,-5.655860
4.020000,-1.448930,-5.471823
4.025000,-1.523156,-5.289846
4.030000,-1.600742,-5.110542
4.035000,-1.681595,-4.934423
4.040000,-1.765613,-4.761912
4.045000,-1.852694,-4.593351
4.050000,-1.942729,-4.429008
4.055000,-2.035607,-4.269091
4.060000,-2.131215,-4.113749
4.065000,-2.229438,-3.963082
4.070000,-2.330158,-3.817151
4.075000,-2.433260,-3.675978
4.080000,-2.538626,-3.539556
4.085000,-2.646139,-3.407852
4.090000,-2.755685,-3.280811
4.095000,-2.867149,-3.158361
4.100000,-2.980420,-3.040413
4.105000,-3.095389,-2.926870
4.110000,-3.211947,-2.817623
4.115000,-3.329991,-2.712556
4.120000,-3.449419,-2.611548
4.125000,-3.570134,-2.514475
4.130000,-3.692040,-2.421211
