freq_ghz,S21_dB,S11_dB
3.500000,-0.065437,-18.252315
3.505000,-0.065902,-18.220978
3.510000,-0.069574,-17.986420
3.515000,-0.076534,-17.574953
3.520000,-0.086856,-17.029911
3.525000,-0.100608,-16.397933
3.530000,-0.117848,-15.719294
3.535000,-0.138628,-15.024220
3.540000,-0.162988,-14.333264
3.545000,-0.190961,-13.659343
3.550000,-0.222569,-13.009953
3.555000,-0.257825,-12.388986
3.560000,-0.296732,-11.798036
3.565000,-0.339282,-11.237288
3.570000,-0.385460,-10.706093
3.575000,-0.435237,-10.203335
3.580000,-0.488578,-9.727663
3.585000,-0.545437,-9.277625
3.590000,-0.605761,-8.851758
3.595000,-0.669485,-8.448632
3.600000,-0.736540,-8.066882
3.605000,-0.806847,-7.705215
3.610000,-0.880323,-7.362421
3.615000,-0.956875,-7.037367
3.620000,-1.036408,-6.729001
3.625000,-1.118820,-6.436341
3.630000,-1.204007,-6.158474
3.635000,-1.291860,-5.894552
3.640000,-1.382266,-5.643782
3.645000,-1.475113,-5.405426
3.650000,-1.570286,-5.178795
3.655000,-1.667667,-4.963244
3.660000,-1.767141,-4.758168
3.665000,-1.868592,-4.563004
3.670000,-1.971902,-4.377218
3.675000,-2.076959,-4.200314
3.680000,-2.183648,-4.031820
3.685000,-2.291857,-3.871297
3.690000,-2.401478,-3.718327
3.695000,-2.512403,-3.572519
3.700000,-2.624529,-3.433502
3.705000,-2.737753,-3.300928
3.710000,-2.851977,-3.174465
3.715000,-2.967105,-3.053804
3.720000,-3.083046,-2.938649
3.725000,-3.199711,-2.828721
3.730000,-3.317014,-2.723757
3.735000,-3.434872,-2.623508
3.740000,-3.553208,-2.527738
3.745000,-3.671945,-2.436224
3.750000,-3.791012,-2.348754
3.755000,-3.910339,-2.265128
3.760000,-4.029861,-2.185158
3.765000,-4.149514,-2.108663
3.770000,-4.269241,-2.035473
3.775000,-4.388983,-1.965429
3.780000,-4.508687,-1.898376
3.785000,-4.628303,-1.834171
3.790000,-4.747781,-1.772677
3.795000,-4.867075,-1.713764
3.800000,-4.986143,-1.657309
3.805000,-5.104943,-1.603195
3.810000,-5.223437,-1.551312
3.815000,-5.341586,-1.501556
3.820000,-5.459357,-1.453826
3.825000,-5.576717,-1.408029
3.830000,-5.693633,-1.364075
3.835000,-5.810078,-1.321879
3.840000,-5.926022,-1.281361
3.845000,-6.041440,-1.242445
3.850000,-6.156306,-1.205058
3.855000,-6.270596,-1.169132
3.860000,-6.384288,-1.134600
3.865000,-6.497361,-1.101402
3.870000,-6.609793,-1.069478
3.875000,-6.721565,-1.038772
3.880000,-6.832659,-1.009231
3.885000,-6.943057,-0.980805
3.890000,-7.052741,-0.953445
3.895000,-7.161695,-0.927107
3.900000,-7.269903,-0.901746
3.905000,-7.377350,-0.877322
3.910000,-7.484019,-0.853795
3.915000,-7.589898,-0.831128
3.920000,-7.694970,-0.809285
3.925000,-7.799223,-0.788234
3.930000,-7.902642,-0.767941
3.935000,-8.005213,-0.748376
3.940000,-8.106923,-0.729510
3.945000,-8.207758,-0.711316
3.950000,-8.307703,-0.693767
3.955000,-8.406746,-0.676837
3.960000,-8.504871,-0.660504
3.965000,-8.602066,-0.644744
3.970000,-8.698315,-0.629535
3.975000,-8.793603,-0.614857
3.980000,-8.887916,-0.600691
3.985000,-8.981238,-0.587016
3.990000,-9.073554,-0.573817
3.995000,-9.164846,-0.561075
4.000000,-9.255098,-0.548774
4.005000,-9.344293,-0.536900
4.010000,-9.432412,-0.525436
4.015000,-9.519438,-0.514370
4.020000,-9.605350,-0.503688
4.025000,-9.690131,-0.493376
