freq_ghz,S21_dB,S11_dB
0.500000,-1.720737,-4.852697
0.505000,-1.743440,-4.806371
0.510000,-1.766037,-4.760981
0.515000,-1.788525,-4.716508
0.520000,-1.810900,-4.672932
0.525000,-1.833157,-4.630233
0.530000,-1.855292,-4.588393
0.535000,-1.877301,-4.547395
0.540000,-1.899181,-4.507220
0.545000,-1.920928,-4.467851
0.550000,-1.942539,-4.429273
0.555000,-1.964009,-4.391467
0.560000,-1.985336,-4.354420
0.565000,-2.006516,-4.318116
0.570000,-2.027546,-4.282540
0.575000,-2.048422,-4.247677
0.580000,-2.069142,-4.213513
0.585000,-2.089702,-4.180035
0.590000,-2.110099,-4.147230
0.595000,-2.130331,-4.115084
0.600000,-2.150394,-4.083585
0.605000,-2.170286,-4.052721
0.610000,-2.190004,-4.022479
0.615000,-2.209545,-3.992848
0.620000,-2.228907,-3.963817
0.625000,-2.248087,-3.935375
0.630000,-2.267083,-3.907511
0.635000,-2.285892,-3.880214
0.640000,-2.304513,-3.853475
0.645000,-2.322941,-3.827284
0.650000,-2.341177,-3.801630
0.655000,-2.359216,-3.776505
0.660000,-2.377057,-3.751899
0.665000,-2.394699,-3.727804
0.670000,-2.412138,-3.704211
0.675000,-2.429374,-3.681111
0.680000,-2.446403,-3.658496
0.685000,-2.463224,-3.636359
0.690000,-2.479836,-3.614691
0.695000,-2.496237,-3.593485
0.700000,-2.512424,-3.572733
0.705000,-2.528396,-3.552429
0.710000,-2.544152,-3.532565
0.715000,-2.559690,-3.513135
0.720000,-2.575008,-3.494132
0.725000,-2.590104,-3.475549
0.730000,-2.604978,-3.457381
0.735000,-2.619628,-3.439620
0.740000,-2.634052,-3.422262
0.745000,-2.648249,-3.405301
0.750000,-2.662218,-3.388730
0.755000,-2.675958,-3.372545
0.760000,-2.689466,-3.356740
0.765000,-2.702742,-3.341310
0.770000,-2.715785,-3.326250
0.775000,-2.728594,-3.311555
0.780000,-2.741167,-3.297220
0.785000,-2.753503,-3.283241
0.790000,-2.765601,-3.269614
0.795000,-2.777461,-3.256333
0.800000,-2.789081,-3.243395
0.805000,-2.800460,-3.230796
0.810000,-2.811597,-3.218532
0.815000,-2.822491,-3.206599
0.820000,-2.833142,-3.194993
0.825000,-2.843549,-3.183711
0.830000,-2.853710,-3.172748
0.835000,-2.863625,-3.162103
0.840000,-2.873292,-3.151771
0.845000,-2.882713,-3.141749
0.850000,-2.891884,-3.132035
0.855000,-2.900807,-3.122625
0.860000,-2.909479,-3.113517
0.865000,-2.917901,-3.104707
0.870000,-2.926072,-3.096194
0.875000,-2.933991,-3.087974
0.880000,-2.941657,-3.080045
0.885000,-2.949070,-3.072406
0.890000,-2.956229,-3.065052
0.895000,-2.963134,-3.057984
0.900000,-2.969784,-3.051197
0.905000,-2.976179,-3.044691
0.910000,-2.982318,-3.038463
0.915000,-2.988201,-3.032512
0.920000,-2.993827,-3.026836
0.925000,-2.999195,-3.021433
0.930000,-3.004306,-3.016302
0.935000,-3.009159,-3.011441
0.940000,-3.013753,-3.006849
0.945000,-3.018089,-3.002525
0.950000,-3.022165,-2.998467
0.955000,-3.025982,-2.994675
0.960000,-3.029538,-2.991146
0.965000,-3.032835,-2.987881
0.970000,-3.035871,-2.984879
0.975000,-3.038646,-2.982137
0.980000,-3.041161,-2.979657
0.985000,-3.043414,-2.977437
0.990000,-3.045405,-2.975476
0.995000,-3.047135,-2.973774
1.000000,-3.048603,-2.972331
1.005000,-3.049809,-2.971147
1.010000,-3.050753,-2.970220
1.015000,-3.051434,-2.969551
1.020000,-3.051853,-2.969140
1.025000,-3.052010,-2.968987
1.030000,-3.051903,-2.969091
1.035000,-3.051534,-2.969454
1.040000,-3.050902,-2.970074
1.045000,-3.050007,-2.970952
1.050000,-3.048849,-2.972090
1.055000,-3.047429,-2.973486
1.060000,-3.045745,-2.975142
1.065000,-3.043799,-2.977057
1.070000,-3.041590,-2.979234
1.075000,-3.039118,-2.981672
1.080000,-3.036383,-2.984373
1.085000,-3.033386,-2.987336
1.090000,-3.030126,-2.990564
1.095000,-3.026604,-2.994057
1.100000,-3.022820,-2.997816
1.105000,-3.018773,-3.001843
1.110000,-3.014465,-3.006139
1.115000,-3.009896,-3.010704
1.120000,-3.005065,-3.015541
1.125000,-2.999973,-3.020652
1.130000,-2.994620,-3.026037
1.135000,-2.989007,-3.031698
1.140000,-2.983133,-3.037638
1.145000,-2.977000,-3.043858
1.150000,-2.970607,-3.050359
1.155000,-2.963955,-3.057145
1.160000,-2.957044,-3.064217
1.165000,-2.949876,-3.071577
1.170000,-2.942449,-3.079228
1.175000,-2.934765,-3.087172
1.180000,-2.926825,-3.095411
1.185000,-2.918628,-3.103949
1.190000,-2.910176,-3.112787
1.195000,-2.901468,-3.121929
1.200000,-2.892507,-3.131377
1.205000,-2.883291,-3.141135
1.210000,-2.873823,-3.151205
1.215000,-2.864102,-3.161591
1.220000,-2.854130,-3.172296
1.225000,-2.843907,-3.183323
1.230000,-2.833434,-3.194676
1.235000,-2.822712,-3.206358
1.240000,-2.811742,-3.218373
1.245000,-2.800524,-3.230725
1.250000,-2.789061,-3.243417
1.255000,-2.777352,-3.256455
1.260000,-2.765399,-3.269841
1.265000,-2.753203,-3.283580
1.270000,-2.740764,-3.297677
1.275000,-2.728085,-3.312136
1.280000,-2.715167,-3.326961
1.285000,-2.702010,-3.342158
1.290000,-2.688616,-3.357731
1.295000,-2.674986,-3.373685
1.300000,-2.661122,-3.390026
1.305000,-2.647025,-3.406758
1.310000,-2.632697,-3.423887
1.315000,-2.618139,-3.441419
1.320000,-2.603353,-3.459359
1.325000,-2.588341,-3.477713
1.330000,-2.573103,-3.496486
1.335000,-2.557643,-3.515686
1.340000,-2.541961,-3.535318
1.345000,-2.526060,-3.555388
1.350000,-2.509942,-3.575904
1.355000,-2.493608,-3.596871
1.360000,-2.477061,-3.618297
1.365000,-2.460303,-3.640189
1.370000,-2.443336,-3.662553
1.375000,-2.426163,-3.685398
1.380000,-2.408785,-3.708730
1.385000,-2.391205,-3.732557
1.390000,-2.373427,-3.756887
1.395000,-2.355451,-3.781728
1.400000,-2.337281,-3.807088
1.405000,-2.318920,-3.832976
1.410000,-2.300371,-3.859399
1.415000,-2.281636,-3.886367
1.420000,-2.262718,-3.913888
1.425000,-2.243620,-3.941971
1.430000,-2.224347,-3.970626
1.435000,-2.204900,-3.999862
1.440000,-2.185283,-4.029688
1.445000,-2.165500,-4.060113
1.450000,-2.145554,-4.091149
1.455000,-2.125449,-4.122805
1.460000,-2.105188,-4.155091
1.465000,-2.084776,-4.188018
1.470000,-2.064216,-4.221596
1.475000,-2.043513,-4.255835
1.480000,-2.022670,-4.290748
1.485000,-2.001691,-4.326344
1.490000,-1.980582,-4.362636
1.495000,-1.959346,-4.399635
1.500000,-1.937989,-4.437351
1.505000,-1.916514,-4.475798
1.510000,-1.894927,-4.514986
1.515000,-1.873233,-4.554928
1.520000,-1.851436,-4.595637
1.525000,-1.829542,-4.637123
1.530000,-1.807557,-4.679400
1.535000,-1.785485,-4.722480
1.540000,-1.763333,-4.766376
1.545000,-1.741105,-4.811100
1.550000,-1.718808,-4.856666
1.555000,-1.696448,-4.903085
1.560000,-1.674031,-4.950370
1.565000,-1.651563,-4.998536
1.570000,-1.629050,-5.047593
1.575000,-1.606499,-5.097555
1.580000,-1.583916,-5.148436
1.585000,-1.561309,-5.200246
1.590000,-1.538684,-5.252999
1.595000,-1.516048,-5.306708
1.600000,-1.493409,-5.361384
1.605000,-1.470773,-5.417039
1.610000,-1.448149,-5.473685
1.615000,-1.425543,-5.531333
1.620000,-1.402963,-5.589994
1.625000,-1.380418,-5.649679
1.630000,-1.357915,-5.710397
1.635000,-1.335463,-5.772158
1.640000,-1.313070,-5.834971
1.645000,-1.290743,-5.898844
1.650000,-1.268492,-5.963785
1.655000,-1.246325,-6.029798
1.660000,-1.224252,-6.096891
1.665000,-1.202280,-6.165067
1.670000,-1.180420,-6.234328
1.675000,-1.158679,-6.304678
1.680000,-1.137068,-6.376116
1.685000,-1.115595,-6.448640
1.690000,-1.094271,-6.522248
1.695000,-1.073104,-6.596934
1.700000,-1.052105,-6.672690
1.705000,-1.031283,-6.749508
1.710000,-1.010648,-6.827374
1.715000,-0.990209,-6.906275
1.720000,-0.969978,-6.986191
1.725000,-0.949963,-7.067102
1.730000,-0.930176,-7.148982
1.735000,-0.910626,-7.231803
1.740000,-0.891323,-7.315533
1.745000,-0.872278,-7.400134
1.750000,-0.853502,-7.485564
1.755000,-0.835003,-7.571776
1.760000,-0.816793,-7.658718
1.765000,-0.798883,-7.746332
1.770000,-0.781282,-7.834553
1.775000,-0.764000,-7.923309
1.780000,-0.747049,-8.012523
1.785000,-0.730438,-8.102110
1.790000,-0.714178,-8.191976
1.795000,-0.698278,-8.282020
1.800000,-0.682749,-8.372132
1.805000,-0.667602,-8.462194
1.810000,-0.652845,-8.552077
1.815000,-0.638489,-8.641643
1.820000,-0.624543,-8.730747
1.825000,-0.611018,-8.819231
1.830000,-0.597922,-8.906929
1.835000,-0.585265,-8.993663
1.840000,-0.573056,-9.079247
1.845000,-0.561305,-9.163486
1.850000,-0.550019,-9.246173
1.855000,-0.539208,-9.327095
1.860000,-0.528880,-9.406029
1.865000,-0.519043,-9.482747
1.870000,-0.509705,-9.557012
1.875000,-0.500874,-9.628586
1.880000,-0.492558,-9.697223
1.885000,-0.484763,-9.762678
1.890000,-0.477496,-9.824705
1.895000,-0.470764,-9.883062
1.900000,-0.464574,-9.937509
1.905000,-0.458931,-9.987812
1.910000,-0.453841,-10.033747
1.915000,-0.449310,-10.075103
1.920000,-0.445342,-10.111679
1.925000,-0.441941,-10.143294
1.930000,-0.439113,-10.169783
1.935000,-0.436862,-10.191004
1.940000,-0.435190,-10.206836
1.945000,-0.434100,-10.217183
1.950000,-0.433597,-10.221975
1.955000,-0.433682,-10.221169
1.960000,-0.434356,-10.214749
1.965000,-0.435623,-10.202729
1.970000,-0.437482,-10.185147
1.975000,-0.439935,-10.162073
1.980000,-0.442981,-10.133598
1.985000,-0.446622,-10.099841
1.990000,-0.450856,-10.060944
1.995000,-0.455682,-10.017070
2.000000,-0.461100,-9.968400
2.005000,-0.467108,-9.915134
2.010000,-0.473703,-9.857484
2.015000,-0.480882,-9.795677
2.020000,-0.488644,-9.729945
2.025000,-0.496985,-9.660532
2.030000,-0.505901,-9.587683
2.035000,-0.515388,-9.511647
2.040000,-0.525441,-9.432673
2.045000,-0.536056,-9.351010
2.050000,-0.547228,-9.266900
2.055000,-0.558951,-9.180586
2.060000,-0.571219,-9.092299
2.065000,-0.584025,-9.002268
2.070000,-0.597364,-8.910711
2.075000,-0.611228,-8.817838
2.080000,-0.625611,-8.723851
2.085000,-0.640504,-8.628941
2.090000,-0.655900,-8.533289
2.095000,-0.671791,-8.437067
2.100000,-0.688169,-8.340437
2.105000,-0.705024,-8.243549
2.110000,-0.722348,-8.146545
2.115000,-0.740133,-8.049558
2.120000,-0.758368,-7.952710
2.125000,-0.777045,-7.856114
2.130000,-0.796153,-7.759876
2.135000,-0.815683,-7.664091
2.140000,-0.835624,-7.568848
2.145000,-0.855967,-7.474228
2.150000,-0.876702,-7.380304
2.155000,-0.897817,-7.287144
2.160000,-0.919302,-7.194808
2.165000,-0.941146,-7.103350
2.170000,-0.963339,-7.012820
2.175000,-0.985870,-6.923259
2.180000,-1.008728,-6.834708
2.185000,-1.031902,-6.747199
2.190000,-1.055380,-6.660763
2.195000,-1.079152,-6.575426
2.200000,-1.103206,-6.491209
2.205000,-1.127532,-6.408130
2.210000,-1.152118,-6.326206
2.215000,-1.176953,-6.245448
2.220000,-1.202025,-6.165868
2.225000,-1.227324,-6.087471
2.230000,-1.252839,-6.010263
2.235000,-1.278557,-5.934247
2.240000,-1.304470,-5.859425
2.245000,-1.330564,-5.785796
2.250000,-1.356829,-5.713357
2.255000,-1.383255,-5.642105
2.260000,-1.409831,-5.572036
2.265000,-1.436545,-5.503142
2.270000,-1.463387,-5.435418
2.275000,-1.490347,-5.368854
2.280000,-1.517414,-5.303442
2.285000,-1.544576,-5.239173
2.290000,-1.571825,-5.176035
2.295000,-1.599150,-5.114018
2.300000,-1.626541,-5.053111
2.305000,-1.653987,-4.993301
2.310000,-1.681479,-4.934575
2.315000,-1.709007,-4.876922
2.320000,-1.736562,-4.820328
2.325000,-1.764133,-4.764780
2.330000,-1.791711,-4.710264
2.335000,-1.819287,-4.656767
2.340000,-1.846851,-4.604274
2.345000,-1.874396,-4.552773
2.350000,-1.901911,-4.502248
2.355000,-1.929387,-4.452687
2.360000,-1.956817,-4.404074
2.365000,-1.984191,-4.356397
2.370000,-2.011502,-4.309640
2.375000,-2.038740,-4.263791
2.380000,-2.065897,-4.218835
2.385000,-2.092966,-4.174758
2.390000,-2.119938,-4.131548
2.395000,-2.146806,-4.089190
2.400000,-2.173562,-4.047672
2.405000,-2.200199,-4.006979
2.410000,-2.226708,-3.967099
2.415000,-2.253083,-3.928019
2.420000,-2.279316,-3.889726
2.425000,-2.305400,-3.852208
2.430000,-2.331329,-3.815452
2.435000,-2.357095,-3.779447
2.440000,-2.382691,-3.744179
2.445000,-2.408112,-3.709638
2.450000,-2.433350,-3.675811
2.455000,-2.458400,-3.642688
2.460000,-2.483254,-3.610257
2.465000,-2.507907,-3.578506
2.470000,-2.532352,-3.547427
2.475000,-2.556584,-3.517006
2.480000,-2.580596,-3.487236
2.485000,-2.604384,-3.458104
2.490000,-2.627940,-3.429602
2.495000,-2.651260,-3.401719
2.500000,-2.674338,-3.374447
2.505000,-2.697169,-3.347775
2.510000,-2.719747,-3.321695
2.515000,-2.742066,-3.296197
2.520000,-2.764123,-3.271274
2.525000,-2.785912,-3.246917
2.530000,-2.807427,-3.223116
2.535000,-2.828664,-3.199866
2.540000,-2.849618,-3.177156
2.545000,-2.870284,-3.154981
2.550000,-2.890658,-3.133332
2.555000,-2.910734,-3.112202
2.560000,-2.930509,-3.091584
2.565000,-2.949978,-3.071472
2.570000,-2.969136,-3.051858
2.575000,-2.987978,-3.032737
