freq_ghz,S21_dB,S11_dB
0.500000,-1.766548,-4.759963
0.505000,-1.790161,-4.713301
0.510000,-1.813677,-4.667569
0.515000,-1.837093,-4.622748
0.520000,-1.860404,-4.578817
0.525000,-1.883607,-4.535758
0.530000,-1.906697,-4.493552
0.535000,-1.929671,-4.452181
0.540000,-1.952524,-4.411626
0.545000,-1.975254,-4.371872
0.550000,-1.997857,-4.332901
0.555000,-2.020329,-4.294697
0.560000,-2.042667,-4.257244
0.565000,-2.064867,-4.220527
0.570000,-2.086926,-4.184532
0.575000,-2.108841,-4.149242
0.580000,-2.130609,-4.114646
0.585000,-2.152227,-4.080727
0.590000,-2.173691,-4.047474
0.595000,-2.195000,-4.014873
0.600000,-2.216149,-3.982912
0.605000,-2.237136,-3.951577
0.610000,-2.257960,-3.920858
0.615000,-2.278616,-3.890742
0.620000,-2.299102,-3.861218
0.625000,-2.319416,-3.832275
0.630000,-2.339556,-3.803902
0.635000,-2.359518,-3.776088
0.640000,-2.379301,-3.748824
0.645000,-2.398902,-3.722099
0.650000,-2.418320,-3.695903
0.655000,-2.437551,-3.670227
0.660000,-2.456595,-3.645062
0.665000,-2.475448,-3.620399
0.670000,-2.494109,-3.596228
0.675000,-2.512575,-3.572542
0.680000,-2.530846,-3.549332
0.685000,-2.548919,-3.526590
0.690000,-2.566792,-3.504308
0.695000,-2.584463,-3.482479
0.700000,-2.601931,-3.461094
0.705000,-2.619195,-3.440146
0.710000,-2.636251,-3.419630
0.715000,-2.653100,-3.399536
0.720000,-2.669739,-3.379859
0.725000,-2.686167,-3.360593
0.730000,-2.702382,-3.341730
0.735000,-2.718383,-3.323264
0.740000,-2.734169,-3.305190
0.745000,-2.749738,-3.287502
0.750000,-2.765089,-3.270193
0.755000,-2.780220,-3.253258
0.760000,-2.795131,-3.236691
0.765000,-2.809819,-3.220488
0.770000,-2.824285,-3.204643
0.775000,-2.838527,-3.189151
0.780000,-2.852543,-3.174007
0.785000,-2.866333,-3.159207
0.790000,-2.879896,-3.144745
0.795000,-2.893230,-3.130617
0.800000,-2.906335,-3.116819
0.805000,-2.919209,-3.103346
0.810000,-2.931852,-3.090195
0.815000,-2.944263,-3.077361
0.820000,-2.956440,-3.064840
0.825000,-2.968383,-3.052629
0.830000,-2.980092,-3.040723
0.835000,-2.991565,-3.029120
0.840000,-3.002801,-3.017816
0.845000,-3.013801,-3.006806
0.850000,-3.024562,-2.996089
0.855000,-3.035084,-2.985660
0.860000,-3.045367,-2.975518
0.865000,-3.055410,-2.965657
0.870000,-3.065213,-2.956077
0.875000,-3.074774,-2.946774
0.880000,-3.084093,-2.937744
0.885000,-3.093169,-2.928987
0.890000,-3.102002,-2.920498
0.895000,-3.110592,-2.912276
0.900000,-3.118937,-2.904319
0.905000,-3.127038,-2.896623
0.910000,-3.134893,-2.889187
0.915000,-3.142502,-2.882008
0.920000,-3.149865,-2.875085
0.925000,-3.156982,-2.868416
0.930000,-3.163851,-2.861998
0.935000,-3.170473,-2.855830
0.940000,-3.176846,-2.849910
0.945000,-3.182972,-2.844236
0.950000,-3.188849,-2.838808
0.955000,-3.194476,-2.833622
0.960000,-3.199854,-2.828679
0.965000,-3.204983,-2.823976
0.970000,-3.209861,-2.819512
0.975000,-3.214489,-2.815286
0.980000,-3.218867,-2.811297
0.985000,-3.222993,-2.807544
