freq_ghz,S21_dB,S11_dB
0.500000,-1.715679,-4.863119
0.505000,-1.738277,-4.816840
0.510000,-1.760769,-4.771499
0.515000,-1.783150,-4.727076
0.520000,-1.805417,-4.683550
0.525000,-1.827564,-4.640902
0.530000,-1.849589,-4.599114
0.535000,-1.871486,-4.558169
0.540000,-1.893254,-4.518047
0.545000,-1.914887,-4.478733
0.550000,-1.936382,-4.440209
0.555000,-1.957736,-4.402461
0.560000,-1.978945,-4.365471
0.565000,-2.000006,-4.329224
0.570000,-2.020915,-4.293707
0.575000,-2.041670,-4.258903
0.580000,-2.062267,-4.224801
0.585000,-2.082703,-4.191385
0.590000,-2.102975,-4.158642
0.595000,-2.123080,-4.126560
0.600000,-2.143016,-4.095125
0.605000,-2.162779,-4.064326
0.610000,-2.182366,-4.034151
0.615000,-2.201776,-4.004588
0.620000,-2.221005,-3.975626
0.625000,-2.240051,-3.947254
0.630000,-2.258912,-3.919461
0.635000,-2.277584,-3.892236
0.640000,-2.296066,-3.865570
0.645000,-2.314355,-3.839453
0.650000,-2.332450,-3.813875
0.655000,-2.350347,-3.788826
0.660000,-2.368045,-3.764298
0.665000,-2.385542,-3.740282
0.670000,-2.402835,-3.716769
0.675000,-2.419923,-3.693750
0.680000,-2.436804,-3.671219
0.685000,-2.453475,-3.649165
0.690000,-2.469935,-3.627582
0.695000,-2.486183,-3.606463
0.700000,-2.502216,-3.585799
0.705000,-2.518032,-3.565585
0.710000,-2.533631,-3.545811
0.715000,-2.549010,-3.526473
0.720000,-2.564168,-3.507564
0.725000,-2.579103,-3.489076
0.730000,-2.593815,-3.471004
0.735000,-2.608300,-3.453342
0.740000,-2.622559,-3.436083
0.745000,-2.636589,-3.419223
0.750000,-2.650389,-3.402755
0.755000,-2.663959,-3.386674
0.760000,-2.677295,-3.370975
0.765000,-2.690399,-3.355652
0.770000,-2.703268,-3.340701
0.775000,-2.715900,-3.326117
0.780000,-2.728296,-3.311895
0.785000,-2.740453,-3.298031
0.790000,-2.752371,-3.284520
0.795000,-2.764049,-3.271357
0.800000,-2.775486,-3.258540
0.805000,-2.786680,-3.246062
0.810000,-2.797631,-3.233922
0.815000,-2.808337,-3.222115
0.820000,-2.818799,-3.210636
0.825000,-2.829014,-3.199484
0.830000,-2.838983,-3.188654
0.835000,-2.848704,-3.178142
0.840000,-2.858176,-3.167946
0.845000,-2.867399,-3.158063
0.850000,-2.876372,-3.148490
0.855000,-2.885094,-3.139223
0.860000,-2.893565,-3.130259
0.865000,-2.901784,-3.121597
0.870000,-2.909749,-3.113234
0.875000,-2.917461,-3.105167
0.880000,-2.924919,-3.097393
0.885000,-2.932123,-3.089910
0.890000,-2.939070,-3.082717
0.895000,-2.945762,-3.075811
0.900000,-2.952198,-3.069190
0.905000,-2.958377,-3.062852
0.910000,-2.964298,-3.056795
0.915000,-2.969961,-3.051017
0.920000,-2.975365,-3.045518
0.925000,-2.980511,-3.040294
0.930000,-2.985398,-3.035346
0.935000,-2.990024,-3.030671
0.940000,-2.994391,-3.026267
0.945000,-2.998497,-3.022135
0.950000,-3.002342,-3.018272
0.955000,-3.005926,-3.014678
0.960000,-3.009249,-3.011351
0.965000,-3.012309,-3.008291
0.970000,-3.015108,-3.005497
0.975000,-3.017644,-3.002968
0.980000,-3.019917,-3.000704
0.985000,-3.021928,-2.998703
0.990000,-3.023675,-2.996966
0.995000,-3.025159,-2.995492
1.000000,-3.026379,-2.994280
1.005000,-3.027336,-2.993331
1.010000,-3.028028,-2.992644
1.015000,-3.028457,-2.992219
1.020000,-3.028621,-2.992055
1.025000,-3.028522,-2.992154
1.030000,-3.028157,-2.992516
1.035000,-3.027529,-2.993139
1.040000,-3.026636,-2.994025
1.045000,-3.025478,-2.995175
1.050000,-3.024056,-2.996587
1.055000,-3.022369,-2.998264
1.060000,-3.020418,-3.000205
1.065000,-3.018202,-3.002412
1.070000,-3.015722,-3.004885
1.075000,-3.012977,-3.007624
1.080000,-3.009968,-3.010632
1.085000,-3.006695,-3.013908
1.090000,-3.003158,-3.017454
1.095000,-2.999357,-3.021271
1.100000,-2.995292,-3.025360
1.105000,-2.990963,-3.029724
1.110000,-2.986371,-3.034362
1.115000,-2.981516,-3.039276
1.120000,-2.976398,-3.044469
1.125000,-2.971017,-3.049942
1.130000,-2.965374,-3.055696
1.135000,-2.959469,-3.061733
1.140000,-2.953302,-3.068056
1.145000,-2.946874,-3.074666
1.150000,-2.940185,-3.081566
1.155000,-2.933235,-3.088757
1.160000,-2.926025,-3.096243
1.165000,-2.918556,-3.104024
1.170000,-2.910827,-3.112105
1.175000,-2.902840,-3.120487
1.180000,-2.894594,-3.129173
1.185000,-2.886091,-3.138166
1.190000,-2.877332,-3.147468
1.195000,-2.868315,-3.157084
1.200000,-2.859044,-3.167015
1.205000,-2.849517,-3.177265
1.210000,-2.839736,-3.187838
1.215000,-2.829701,-3.198736
1.220000,-2.819414,-3.209963
1.225000,-2.808875,-3.221523
1.230000,-2.798085,-3.233420
1.235000,-2.787044,-3.245657
1.240000,-2.775755,-3.258239
1.245000,-2.764217,-3.271168
1.250000,-2.752432,-3.284451
1.255000,-2.740401,-3.298090
1.260000,-2.728125,-3.312090
1.265000,-2.715605,-3.326457
1.270000,-2.702842,-3.341194
1.275000,-2.689838,-3.356306
1.280000,-2.676593,-3.371799
1.285000,-2.663109,-3.387677
1.290000,-2.649388,-3.403946
1.295000,-2.635430,-3.420610
1.300000,-2.621238,-3.437676
1.305000,-2.606813,-3.455150
1.310000,-2.592155,-3.473036
1.315000,-2.577268,-3.491340
1.320000,-2.562152,-3.510070
1.325000,-2.546810,-3.529230
1.330000,-2.531243,-3.548828
1.335000,-2.515453,-3.568870
1.340000,-2.499441,-3.589363
1.345000,-2.483211,-3.610313
1.350000,-2.466763,-3.631727
1.355000,-2.450100,-3.653613
1.360000,-2.433225,-3.675978
1.365000,-2.416139,-3.698830
1.370000,-2.398844,-3.722175
1.375000,-2.381344,-3.746023
1.380000,-2.363640,-3.770381
1.385000,-2.345736,-3.795257
1.390000,-2.327633,-3.820659
1.395000,-2.309334,-3.846597
1.400000,-2.290843,-3.873079
1.405000,-2.272161,-3.900113
1.410000,-2.253293,-3.927710
1.415000,-2.234240,-3.955878
1.420000,-2.215007,-3.984627
1.425000,-2.195595,-4.013966
1.430000,-2.176010,-4.043906
1.435000,-2.156253,-4.074457
1.440000,-2.136329,-4.105628
1.445000,-2.116240,-4.137431
1.450000,-2.095992,-4.169876
1.455000,-2.075586,-4.202974
1.460000,-2.055029,-4.236737
1.465000,-2.034322,-4.271174
1.470000,-2.013471,-4.306298
1.475000,-1.992480,-4.342121
1.480000,-1.971353,-4.378655
1.485000,-1.950094,-4.415911
1.490000,-1.928708,-4.453901
1.495000,-1.907200,-4.492639
1.500000,-1.885574,-4.532137
1.505000,-1.863835,-4.572407
1.510000,-1.841989,-4.613463
1.515000,-1.820041,-4.655318
1.520000,-1.797995,-4.697985
1.525000,-1.775857,-4.741477
1.530000,-1.753633,-4.785808
1.535000,-1.731328,-4.830993
1.540000,-1.708949,-4.877043
1.545000,-1.686500,-4.923975
1.550000,-1.663989,-4.971800
1.555000,-1.641421,-5.020535
1.560000,-1.618803,-5.070192
1.565000,-1.596141,-5.120786
1.570000,-1.573441,-5.172332
1.575000,-1.550711,-5.224842
1.580000,-1.527958,-5.278332
1.585000,-1.505188,-5.332816
1.590000,-1.482408,-5.388307
1.595000,-1.459626,-5.444818
1.600000,-1.436850,-5.502365
1.605000,-1.414086,-5.560960
1.610000,-1.391343,-5.620616
1.615000,-1.368629,-5.681345
1.620000,-1.345950,-5.743161
1.625000,-1.323317,-5.806075
1.630000,-1.300736,-5.870098
1.635000,-1.278217,-5.935242
1.640000,-1.255767,-6.001516
1.645000,-1.233396,-6.068929
1.650000,-1.211113,-6.137490
1.655000,-1.188925,-6.207207
1.660000,-1.166843,-6.278086
1.665000,-1.144875,-6.350131
1.670000,-1.123031,-6.423347
1.675000,-1.101321,-6.497735
1.680000,-1.079753,-6.573297
1.685000,-1.058337,-6.650032
1.690000,-1.037083,-6.727935
1.695000,-1.016001,-6.807002
1.700000,-0.995101,-6.887225
1.705000,-0.974393,-6.968593
1.710000,-0.953887,-7.051092
1.715000,-0.933593,-7.134707
1.720000,-0.913521,-7.219416
1.725000,-0.893681,-7.305197
1.730000,-0.874085,-7.392022
1.735000,-0.854742,-7.479858
1.740000,-0.835662,-7.568668
1.745000,-0.816857,-7.658410
1.750000,-0.798337,-7.749036
1.755000,-0.780112,-7.840493
1.760000,-0.762192,-7.932721
1.765000,-0.744589,-8.025653
1.770000,-0.727313,-8.119214
1.775000,-0.710373,-8.213324
1.780000,-0.693781,-8.307891
1.785000,-0.677547,-8.402816
1.790000,-0.661682,-8.497993
1.795000,-0.646195,-8.593302
1.800000,-0.631096,-8.688616
1.805000,-0.616396,-8.783797
1.810000,-0.602105,-8.878696
1.815000,-0.588232,-8.973152
1.820000,-0.574788,-9.066993
1.825000,-0.561781,-9.160035
1.830000,-0.549222,-9.252085
1.835000,-0.537118,-9.342935
1.840000,-0.525481,-9.432366
1.845000,-0.514317,-9.520151
1.850000,-0.503637,-9.606050
1.855000,-0.493448,-9.689814
1.860000,-0.483759,-9.771185
1.865000,-0.474578,-9.849898
1.870000,-0.465912,-9.925682
1.875000,-0.457768,-9.998261
1.880000,-0.450155,-10.067359
1.885000,-0.443078,-10.132697
1.890000,-0.436545,-10.194001
1.895000,-0.430561,-10.250999
1.900000,-0.425133,-10.303430
