freq_ghz,S21_dB,S11_dB
3.500000,-0.733108,-8.087562
3.505000,-0.805875,-7.711869
3.510000,-0.881663,-7.358188
3.515000,-0.960370,-7.024790
3.520000,-1.041892,-6.710146
3.525000,-1.126118,-6.412894
3.530000,-1.212938,-6.131812
3.535000,-1.302235,-5.865802
3.540000,-1.393892,-5.613865
3.545000,-1.487791,-5.375096
3.550000,-1.583812,-5.148666
3.555000,-1.681836,-4.933814
3.560000,-1.781743,-4.729842
3.565000,-1.883416,-4.536103
3.570000,-1.986735,-4.352001
3.575000,-2.091587,-4.176981
3.580000,-2.197857,-4.010526
3.585000,-2.305433,-3.852156
3.590000,-2.414207,-3.701423
3.595000,-2.524072,-3.557906
3.600000,-2.634925,-3.421213
3.605000,-2.746666,-3.290976
3.610000,-2.859197,-3.166848
3.615000,-2.972425,-3.048507
3.620000,-3.086259,-2.935645
3.625000,-3.200613,-2.827977
3.630000,-3.315402,-2.725232
3.635000,-3.430547,-2.627154
3.640000,-3.545970,-2.533505
3.645000,-3.661598,-2.444058
3.650000,-3.777361,-2.358598
3.655000,-3.893191,-2.276926
3.660000,-4.009024,-2.198850
3.665000,-4.124799,-2.124191
3.670000,-4.240459,-2.052778
3.675000,-4.355947,-1.984452
3.680000,-4.471210,-1.919061
3.685000,-4.586200,-1.856462
3.690000,-4.700867,-1.796518
3.695000,-4.815166,-1.739102
3.700000,-4.929056,-1.684092
3.705000,-5.042493,-1.631373
3.710000,-5.155441,-1.580837
3.715000,-5.267860,-1.532381
3.720000,-5.379717,-1.485908
3.725000,-5.490977,-1.441324
3.730000,-5.601608,-1.398543
3.735000,-5.711580,-1.357481
3.740000,-5.820864,-1.318061
3.745000,-5.929430,-1.280208
3.750000,-6.037253,-1.243851
3.755000,-6.144307,-1.208923
3.760000,-6.250565,-1.175361
3.765000,-6.356006,-1.143105
3.770000,-6.460604,-1.112098
3.775000,-6.564338,-1.082285
3.780000,-6.667186,-1.053615
3.785000,-6.769126,-1.026040
3.790000,-6.870137,-0.999512
3.795000,-6.970198,-0.973989
3.800000,-7.069289,-0.949429
3.805000,-7.167389,-0.925791
3.810000,-7.264480,-0.903038
3.815000,-7.360539,-0.881135
3.820000,-7.455548,-0.860048
3.825000,-7.549485,-0.839743
3.830000,-7.642332,-0.820192
3.835000,-7.734066,-0.801364
3.840000,-7.824667,-0.783233
3.845000,-7.914112,-0.765771
3.850000,-8.002382,-0.748955
3.855000,-8.089451,-0.732761
3.860000,-8.175298,-0.717166
3.865000,-8.259898,-0.702149
3.870000,-8.343227,-0.687690
3.875000,-8.425257,-0.673770
3.880000,-8.505963,-0.660371
3.885000,-8.585317,-0.647477
3.890000,-8.663288,-0.635071
3.895000,-8.739847,-0.623138
3.900000,-8.814961,-0.611664
3.905000,-8.888596,-0.600635
3.910000,-8.960716,-0.590039
3.915000,-9.031285,-0.579865
3.920000,-9.100262,-0.570101
3.925000,-9.167606,-0.560737
3.930000,-9.233272,-0.551764
3.935000,-9.297215,-0.543174
3.940000,-9.359384,-0.534958
3.945000,-9.419726,-0.527110
3.950000,-9.478187,-0.519623
3.955000,-9.534707,-0.512491
3.960000,-9.589222,-0.505711
3.965000,-9.641666,-0.499279
3.970000,-9.691967,-0.493190
3.975000,-9.740049,-0.487443
3.980000,-9.785831,-0.482037
3.985000,-9.829224,-0.476972
3.990000,-9.870137,-0.472247
3.995000,-9.908469,-0.467866
4.000000,-9.944114,-0.463830
4.005000,-9.976957,-0.460143
4.010000,-10.006875,-0.456812
4.015000,-10.033736,-0.453843
4.020000,-10.057396,-0.451245
4.025000,-10.077704,-0.449027
4.030000,-10.094493,-0.447202
4.035000,-10.107585,-0.445784
4.040000,-10.116788,-0.444791
4.045000,-10.121892,-0.444241
4.050000,-10.122672,-0.444157
4.055000,-10.118883,-0.444565
4.060000,-10.110259,-0.445496
4.065000,-10.096510,-0.446983
4.070000,-10.077324,-0.449068
4.075000,-10.052359,-0.451797
4.080000,-10.021240,-0.455222
4.085000,-9.983564,-0.459406
4.090000,-9.938886,-0.464419
4.095000,-9.886723,-0.470346
4.100000,-9.826548,-0.477282
4.105000,-9.757785,-0.485341
4.110000,-9.679809,-0.494654
4.115000,-9.591937,-0.505376
4.120000,-9.493433,-0.517688
4.125000,-9.383501,-0.531806
4.130000,-9.261288,-0.547982
4.135000,-9.125896,-0.566516
4.140000,-8.976386,-0.587763
4.145000,-8.811810,-0.612140
4.150000,-8.631251,-0.640136
4.155000,-8.433889,-0.672322
4.160000,-8.219118,-0.709343
4.165000,-7.986713,-0.751909
4.170000,-7.737110,-0.800745
4.175000,-7.471818,-0.856490
4.180000,-7.194047,-0.919478
4.185000,-6.909620,-0.989349
4.190000,-6.628232,-1.064367
4.195000,-6.365045,-1.140382
4.200000,-6.142358,-1.209544
4.205000,-5.990633,-1.259418
4.210000,-5.947482,-1.274034
4.215000,-6.052935,-1.238662
4.220000,-6.340535,-1.147775
4.225000,-6.827083,-1.010727
4.230000,-7.506798,-0.848908
4.235000,-8.353955,-0.685856
4.240000,-9.332119,-0.538548
4.245000,-10.404209,-0.414902
4.250000,-11.539066,-0.315923
4.255000,-12.713851,-0.238943
4.260000,-13.913715,-0.180047
4.265000,-15.130359,-0.135363
4.270000,-16.360463,-0.101580
4.275000,-17.604432,-0.076057
4.280000,-18.865545,-0.056763
4.285000,-20.149487,-0.042164
4.290000,-21.464239,-0.031111
4.295000,-22.820298,-0.022745
4.300000,-24.231281,-0.016424
4.305000,-25.715049,-0.011664
4.310000,-27.295655,-0.008102
4.315000,-29.006741,-0.005462
4.320000,-30.897783,-0.003533
4.325000,-33.046473,-0.002154
4.330000,-35.586239,-0.001200
4.335000,-38.778396,-0.000575
4.340000,-43.259724,-0.000205
4.345000,-51.527973,-0.000031
4.350000,-58.479064,-0.000006
4.355000,-46.559748,-0.000096
4.360000,-42.041664,-0.000271
4.365000,-39.299427,-0.000510
4.370000,-37.374309,-0.000795
4.375000,-35.919060,-0.001112
4.380000,-34.768230,-0.001449
4.385000,-33.830027,-0.001798
4.390000,-33.048254,-0.002153
4.395000,-32.386038,-0.002508
4.400000,-31.817909,-0.002858
4.405000,-31.325550,-0.003202
4.410000,-30.895372,-0.003535
4.415000,-30.517019,-0.003857
4.420000,-30.182433,-0.004166
4.425000,-29.885227,-0.004462
4.430000,-29.620256,-0.004742
4.435000,-29.383325,-0.005008
4.440000,-29.170967,-0.005260
4.445000,-28.980289,-0.005496
4.450000,-28.808856,-0.005717
4.455000,-28.654600,-0.005924
4.460000,-28.515751,-0.006117
4.465000,-28.390787,-0.006295
4.470000,-28.278386,-0.006461
4.475000,-28.177400,-0.006613
4.480000,-28.086821,-0.006752
4.485000,-28.005765,-0.006879
4.490000,-27.933449,-0.006995
4.495000,-27.869181,-0.007099
4.500000,-27.812343,-0.007193
4.505000,-27.762387,-0.007276
4.510000,-27.718818,-0.007350
4.515000,-27.681196,-0.007414
4.520000,-27.649124,-0.007469
4.525000,-27.622243,-0.007515
4.530000,-27.600230,-0.007553
4.535000,-27.582793,-0.007584
4.540000,-27.569668,-0.007607
4.545000,-27.560615,-0.007623
4.550000,-27.555417,-0.007632
4.555000,-27.553877,-0.007634
4.560000,-27.555817,-0.007631
4.565000,-27.561076,-0.007622
4.570000,-27.569507,-0.007607
