freq_ghz,S21_dB,S11_dB
3.500000,-1.091874,-6.530625
3.505000,-1.177833,-6.242565
3.510000,-1.266344,-5.970026
3.515000,-1.357288,-5.711976
3.520000,-1.450548,-5.467473
3.525000,-1.546004,-5.235661
3.530000,-1.643535,-5.015753
3.535000,-1.743021,-4.807028
3.540000,-1.844343,-4.608818
3.545000,-1.947382,-4.420507
3.550000,-2.052020,-4.241524
3.555000,-2.158141,-4.071336
3.560000,-2.265633,-3.909448
3.565000,-2.374383,-3.755399
3.570000,-2.484284,-3.608756
3.575000,-2.595230,-3.469115
3.580000,-2.707119,-3.336097
3.585000,-2.819850,-3.209347
3.590000,-2.933327,-3.088531
3.595000,-3.047459,-2.973334
3.600000,-3.162155,-2.863463
3.605000,-3.277329,-2.758638
3.610000,-3.392899,-2.658598
3.615000,-3.508785,-2.563097
3.620000,-3.624912,-2.471901
3.625000,-3.741207,-2.384791
3.630000,-3.857601,-2.301559
3.635000,-3.974028,-2.222011
3.640000,-4.090424,-2.145962
3.645000,-4.206730,-2.073237
3.650000,-4.322888,-2.003672
3.655000,-4.438844,-1.937109
3.660000,-4.554546,-1.873403
3.665000,-4.669945,-1.812414
3.670000,-4.784994,-1.754011
3.675000,-4.899648,-1.698067
3.680000,-5.013866,-1.644466
3.685000,-5.127606,-1.593097
3.690000,-5.240832,-1.543852
3.695000,-5.353506,-1.496632
3.700000,-5.465593,-1.451343
3.705000,-5.577062,-1.407895
3.710000,-5.687879,-1.366202
3.715000,-5.798016,-1.326184
3.720000,-5.907444,-1.287765
3.725000,-6.016134,-1.250872
3.730000,-6.124061,-1.215437
3.735000,-6.231199,-1.181395
3.740000,-6.337524,-1.148683
3.745000,-6.443012,-1.117243
3.750000,-6.547640,-1.087021
3.755000,-6.651387,-1.057962
3.760000,-6.754229,-1.030018
3.765000,-6.856148,-1.003140
3.770000,-6.957121,-0.977283
3.775000,-7.057128,-0.952406
3.780000,-7.156149,-0.928466
3.785000,-7.254165,-0.905426
3.790000,-7.351155,-0.883249
3.795000,-7.447100,-0.861900
3.800000,-7.541980,-0.841346
3.805000,-7.635775,-0.821556
3.810000,-7.728465,-0.802500
3.815000,-7.820030,-0.784150
3.820000,-7.910448,-0.766478
3.825000,-7.999699,-0.749460
3.830000,-8.087761,-0.733071
3.835000,-8.174612,-0.717288
3.840000,-8.260229,-0.702090
3.845000,-8.344588,-0.687455
3.850000,-8.427666,-0.673365
3.855000,-8.509436,-0.659800
3.860000,-8.589872,-0.646744
3.865000,-8.668947,-0.634179
3.870000,-8.746632,-0.622091
3.875000,-8.822898,-0.610463
3.880000,-8.897712,-0.599283
3.885000,-8.971042,-0.588537
3.890000,-9.042854,-0.578213
3.895000,-9.113110,-0.568300
3.900000,-9.181772,-0.558786
3.905000,-9.248801,-0.549663
3.910000,-9.314153,-0.540920
3.915000,-9.377782,-0.532550
3.920000,-9.439642,-0.524545
3.925000,-9.499682,-0.516897
3.930000,-9.557847,-0.509600
3.935000,-9.614082,-0.502650
3.940000,-9.668324,-0.496041
